birdname,color
House wren,Brown
Bald Eagle,BrownYellowWhite
Beagle,BrownRedBlackWhiteTan
Beagle Shepherd,BrownRedBlackWhiteTanSilver
Cheagle,BrownBlackWhiteCream
Eagle,BrownGreyYellowBlackWhite
Harpy Eagle,BlackWhite
Malteagle,BrownBlackWhiteCream
Meagle,BrownBlackWhiteCreamChocolate
Mexican Eagle (Northern crested caracara),BrownBlueWhiteOrange
Peagle,BlackWhiteTan
Pocket Beagle,GreyRedBlueBlackWhiteTanOrange
Pomeagle,BrownBlackWhite
Porbeagle Shark,GreyBlueWhite
Schneagle,BlackWhiteTan
Sea Eagle,BrownYellowBlackWhite
White-Tailed Eagle,BrownGreyBlackWhiteCream
Duck,BrownGreyYellowBlackWhiteGreen
Nova Scotia Duck Tolling Retriever,RedGolden
Egyptian Goose,BrownWhite
Goose,BrownGreyBlackWhite
Hawaiian Goose,GreyWhiteCreamBlack-Brown
Mongoose,BrownGreyTan
Cooper’s Hawk,BrownGreyWhite
Ferruginous Hawk,BrownRedBlackWhite
Goshawk,BrownGreyRedBlackWhite
Harris Hawk,BrownRedWhite
Sparrowhawk,BrownBlackWhiteOrange
Tarantula Hawk,BlackOrange
