birdid,bird,latin,flags,sighting_time,bird_type,order,family,In Sibley,Remove,Family Rank
26,Masked Duck,Nomonyx dominica,,,"Ducks, Geese, & Swans",ANSERIFORMES,ÊAnatidae,1,0,1
27,Ruddy Duck,Oxyura jamaicensis,,,"Ducks, Geese, & Swans",ANSERIFORMES,ÊAnatidae,1,0,1
28,Mute Swan,Cygnus olor,Introduced species,,"Ducks, Geese, & Swans",ANSERIFORMES,ÊAnatidae,1,0,1
x,Barnacle Goose,,,,,ANSERIFORMES,ÊAnatidae,1,0,1
29,Trumpeter Swan,Cygnus buccinator,,,"Ducks, Geese, & Swans",ANSERIFORMES,ÊAnatidae,1,0,1
x,Cackling Goose,,,,,ANSERIFORMES,ÊAnatidae,1,0,1
x,Whooping Swan,,,,,ANSERIFORMES,ÊAnatidae,1,0,1
30,Tundra Swan,Cygnus columbianus,,,"Ducks, Geese, & Swans",ANSERIFORMES,ÊAnatidae,1,0,1
31,Pink-footed Goose,Anser brachyrhynchus,,,"Ducks, Geese, & Swans",ANSERIFORMES,ÊAnatidae,1,0,1
x,Graylag Goose,,,,,ANSERIFORMES,ÊAnatidae,1,0,1
x,Taiga Bean-Goose,,,,,ANSERIFORMES,ÊAnatidae,1,0,1
32,Greater White-fronted Goose,Anser albifrons,,,"Ducks, Geese, & Swans",ANSERIFORMES,ÊAnatidae,1,0,1
33,Snow Goose,Anser caerulescens,,,"Ducks, Geese, & Swans",ANSERIFORMES,ÊAnatidae,1,0,1
x,Brant,,,,,ANSERIFORMES,ÊAnatidae,1,0,1
34,Ross's Goose,Anser rossii,,,"Ducks, Geese, & Swans",ANSERIFORMES,ÊAnatidae,1,0,1
35,Emperor Goose,Anser canagica,,,"Ducks, Geese, & Swans",ANSERIFORMES,ÊAnatidae,1,0,1
36,Hawaiian Goose,Branta sandvicensis,Introduced species,,"Ducks, Geese, & Swans",ANSERIFORMES,ÊAnatidae,0,1,1
37,Canada Goose,Branta canadensis,,,"Ducks, Geese, & Swans",ANSERIFORMES,ÊAnatidae,1,0,1
