birdid,Region,family,bird,latin,flags,sighting_time,bird_type,t_order,Family Rank
1,US, Parulidae,﻿﻿Palm Warbler,,,,,,0
2,US, Anatidae,Masked Duck,Nomonyx dominica,,,"Ducks, Geese, & Swans",ANSERIFORMES,1
3,US, Anatidae,Ruddy Duck,Oxyura jamaicensis,,,"Ducks, Geese, & Swans",ANSERIFORMES,1
4,US, Anatidae,Mute Swan,Cygnus olor,Introduced species,,"Ducks, Geese, & Swans",ANSERIFORMES,1
5,US, Anatidae,Barnacle Goose,,,,,ANSERIFORMES,1
6,US, Anatidae,Trumpeter Swan,Cygnus buccinator,,,"Ducks, Geese, & Swans",ANSERIFORMES,1
7,US, Anatidae,Cackling Goose,,,,,ANSERIFORMES,1
8,US, Anatidae,Whooping Swan,,,,,ANSERIFORMES,1
9,US, Anatidae,Tundra Swan,Cygnus columbianus,,,"Ducks, Geese, & Swans",ANSERIFORMES,1
10,US, Anatidae,Pink-footed Goose,Anser brachyrhynchus,,,"Ducks, Geese, & Swans",ANSERIFORMES,1
11,US, Anatidae,Graylag Goose,,,,,ANSERIFORMES,1
12,US, Anatidae,Taiga Bean-Goose,,,,,ANSERIFORMES,1
13,US, Anatidae,Greater White-fronted Goose,Anser albifrons,,,"Ducks, Geese, & Swans",ANSERIFORMES,1
14,US, Anatidae,Snow Goose,Anser caerulescens,,,"Ducks, Geese, & Swans",ANSERIFORMES,1
15,US, Anatidae,Brant,,,,,ANSERIFORMES,1
16,US, Anatidae,Ross's Goose,Anser rossii,,,"Ducks, Geese, & Swans",ANSERIFORMES,1
17,US, Anatidae,Emperor Goose,Anser canagica,,,"Ducks, Geese, & Swans",ANSERIFORMES,1
18,US, Anatidae,Canada Goose,Branta canadensis,,,"Ducks, Geese, & Swans",ANSERIFORMES,1
19,US, Anatidae,Tundra Bean-Goose,Branta hutchinsii,,,"Ducks, Geese, & Swans",ANSERIFORMES,1
20,US, Anatidae,Wood Duck,Aix sponsa,,,"Ducks, Geese, & Swans",ANSERIFORMES,1
21,US, Anatidae,Gadwall,Anas strepera,,,"Ducks, Geese, & Swans",ANSERIFORMES,1
22,US, Anatidae,Eurasian Wigeon,Anas penelope,,,"Ducks, Geese, & Swans",ANSERIFORMES,1
23,US, Anatidae,American Wigeon,Anas americana,,,"Ducks, Geese, & Swans",ANSERIFORMES,1
24,US, Anatidae,American Black Duck,Anas rubripes,,,"Ducks, Geese, & Swans",ANSERIFORMES,1
25,US, Anatidae,Mottled Duck,Anas fulvigula,,,"Ducks, Geese, & Swans",ANSERIFORMES,1
26,US, Anatidae,Mallard,Anas platyrhynchos,,,"Ducks, Geese, & Swans",ANSERIFORMES,1
27,US, Anatidae,Blue-winged Teal,Anas discors,,,"Ducks, Geese, & Swans",ANSERIFORMES,1
28,US, Anatidae,Cinnamon Teal,Anas cyanoptera,,,"Ducks, Geese, & Swans",ANSERIFORMES,1
29,US, Anatidae,Northern Shoveler,Anas clypeata,,,"Ducks, Geese, & Swans",ANSERIFORMES,1
30,US, Anatidae,Northern Pintail,Anas acuta,,,"Ducks, Geese, & Swans",ANSERIFORMES,1
31,US, Anatidae,Canvasback,Aythya valisineria,,,"Ducks, Geese, & Swans",ANSERIFORMES,1
32,US, Anatidae,Redhead,Aythya americana,,,"Ducks, Geese, & Swans",ANSERIFORMES,1
33,US, Anatidae,Ring-necked Duck,Aythya collaris,,,"Ducks, Geese, & Swans",ANSERIFORMES,1
34,US, Anatidae,Tufted Duck,Aythya fuligula,,,"Ducks, Geese, & Swans",ANSERIFORMES,1
35,US, Anatidae,Greater Scaup,Aythya marila,,,"Ducks, Geese, & Swans",ANSERIFORMES,1
36,US, Anatidae,Lesser Scaup,Aythya affinis,,,"Ducks, Geese, & Swans",ANSERIFORMES,1
37,US, Anatidae,Common Eider,Somateria mollissima,,,"Ducks, Geese, & Swans",ANSERIFORMES,1
38,US, Anatidae,King Eider,Somateria spectabilis,,,"Ducks, Geese, & Swans",ANSERIFORMES,1
39,US, Anatidae,Harlequin Duck,Histrionicus histrionicus,,,"Ducks, Geese, & Swans",ANSERIFORMES,1
40,US, Anatidae,Long-tailed Duck,Clangula hyemalis,,,"Ducks, Geese, & Swans",ANSERIFORMES,1
41,US, Anatidae,Black Scoter,Melanitta nigra,,,"Ducks, Geese, & Swans",ANSERIFORMES,1
42,US, Anatidae,Surf Scoter,Melanitta perspicillata,,,"Ducks, Geese, & Swans",ANSERIFORMES,1
43,US, Anatidae,White-winged Scoter,Melanitta fusca,,,"Ducks, Geese, & Swans",ANSERIFORMES,1
44,US, Anatidae,Common Goldeneye,Bucephala clangula,,,"Ducks, Geese, & Swans",ANSERIFORMES,1
45,US, Anatidae,Barrow's Goldeneye,Bucephala islandica,,,"Ducks, Geese, & Swans",ANSERIFORMES,1
46,US, Anatidae,Bufflehead,Bucephala albeola,,,"Ducks, Geese, & Swans",ANSERIFORMES,1
47,US, Anatidae,Hooded Merganser,Lophodytes cucullatus,,,"Ducks, Geese, & Swans",ANSERIFORMES,1
48,US, Anatidae,Red-breasted Merganser,Mergus serrator,,,"Ducks, Geese, & Swans",ANSERIFORMES,1
49,US, Anatidae,Common Merganser,Mergus merganser,,,"Ducks, Geese, & Swans",ANSERIFORMES,1
50,US, Anatidae,Black-bellied Whistling-Duck,Dendrocygna autumnalis,,,"Ducks, Geese, & Swans",ANSERIFORMES,1
51,US, Anatidae,Fulvous Whistling-Duck,Dendrocygna bicolor,,,"Ducks, Geese, & Swans",ANSERIFORMES,1
52,US, Anatidae,Muscovy Duck,,,,,ANSERIFORMES,1
