Species Number,Alpha Code,Common Name,Band Size,French Name,Scientific Name,T & E*,Comments,Taxonomic Order
10,WEGR,Western Grebe,"7B, 7, 7A",Grèbe élégant,Aechmophorus occidentalis,,,100
11,CLGR,Clark's Grebe,"7A, 7, 7B",Grèbe à face blanche,Aechmophorus clarkii,,,102
12,WCGR,Western/Clark's Grebe,"7A, 7B",Grèbe à face blanche/Grèbe élégant non identifiée,,,Unspecified Aechmophorus occidentalis or A. clarkii. | Aechmophorus occidentalis ou A. clarkii non spécifié,101
20,RNGR,Red-necked Grebe,"7A, 7, 7B",Grèbe jougris,Podiceps grisegena,,,98
30,HOGR,Horned Grebe,"6, 5, 5A",Grèbe esclavon,Podiceps auritus,Y,Magdalen Islands population is endangered. | La population des Îles de la Madeleine est en voie de disparition.,97
40,EAGR,Eared Grebe,"5, 5A",Grèbe à cou noir,Podiceps nigricollis,,,99
50,LEGR,Least Grebe,4,Grèbe minime,Tachybaptus dominicus,,,95
60,PBGR,Pied-billed Grebe,"5, 6, 5A",Grèbe à bec bigarré,Podilymbus podiceps,,,96
70,COLO,Common Loon,"8, 8A, 9",Plongeon huard,Gavia immer,,,93
80,YBLO,Yellow-billed Loon,"9, 8A",Plongeon à bec blanc,Gavia adamsii,,,94
90,ARLO,Arctic Loon,7B,Plongeon arctique,Gavia arctica,,,91
100,PALO,Pacific Loon,7B,Plongeon du Pacifique,Gavia pacifica,,,92
110,RTLO,Red-throated Loon,7B,Plongeon catmarin,Gavia stellata,,,90
120,TUPU,Tufted Puffin,"6, 5, 5A",Macareux huppé,Fratercula cirrhata,,,401
130,ATPU,Atlantic Puffin,5,Macareux moine,Fratercula arctica,,,399
140,HOPU,Horned Puffin,"5, 5A",Macareux cornu,Fratercula corniculata,,,400
150,RHAU,Rhinoceros Auklet,"5, 6, 5A",Macareux rhinocéros,Cerorhinca monocerata,,,398
160,CAAU,Cassin's Auklet,"3, 3B, 3A",Starique de Cassin,Ptychoramphus aleuticus,,,393
170,PAAU,Parakeet Auklet,4,Starique perroquet,Aethia psittacula,,,394
180,CRAU,Crested Auklet,4,Starique cristatelle,Aethia cristatella,,,397
190,WHAU,Whiskered Auklet,3,Starique pygmée,Aethia pygmaea,,,396
200,LEAU,Least Auklet,"2, 3, 2A",Starique minuscule,Aethia pusilla,,,395
210,ANMU,Ancient Murrelet,"3, 3B",Guillemot à cou blanc,Synthliboramphus antiquus,,,392
230,MAMU,Marbled Murrelet,"3, 3B",Guillemot marbré,Brachyramphus marmoratus,Y,,386
231,LBMU,Long-billed Murrelet,"3B, 3",Guillemot à long bec,Brachyramphus perdix,,,384
232,AMMU,Alaska Marbled Murrelet,"3, 3B",Guillemot marbré de l'Alaska,Brachyramphus marmoratus,,Alaskan populations of Marbled Murrelet (not endangered). | Les populations de Guillemot marbré de l'Alaska (non menacées).,385
240,KIMU,Kittlitz's Murrelet,3,Guillemot de Kittlitz,Brachyramphus brevirostris,,,387
250,XAMU,Xantus's Murrelet,"2, 2A",Guillemot de Xantus,,,Unspecified Synthliboramphus scrippsi / S. hypoleucus. | Synthliboramphus scrippsi / S. hypoleucus non spécifié,388
251,SCMU,Scripps's Murrelet,"2, 2A",Guillemot de Scripps,Synthliboramphus scrippsi,,Split from XAMU (0250) in August 2012. | Séparé de XAMU (0250) en août 2012.,389
252,GUMU,Guadalupe Murrelet,"2, 2A",Guillemot de Xantus,Synthliboramphus hypoleucus,,Split from XAMU (0250) in August 2012. | Séparé de XAMU (0250) en août 2012.,390
260,CRMU,Craveri's Murrelet,2,Guillemot de Craveri,Synthliboramphus craveri,,,391
